ISO	NAM_LABEL	LMP_LON	LMP_LAT	GENEALOGY
akt	Akolet	150.18199	-6.22711	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Arawe-Pasismanua, Arawe, East Arawe
aku	Akum	9.98971	6.84099	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Jukunoid, Yukuben-Kuteb
akv	Akhvakh	46.30369	42.40035	North Caucasian, East Caucasian, Avar-Andic, Andic
akw	Akwa	15.46226	-0.39897	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, C, Mboshi (C.22)
akx	Aka-Kede	92.82266	12.84943	Andamanese, Great Andamanese, Central
aky	Aka-Kol	92.78661	12.73253	Andamanese, Great Andamanese, Central
akz	Alabama	-94.62848	30.76738	Muskogean, Eastern Muskogean, Central Muskogean, Apalachee-Alabama-Koasati, Alabama-Koasati
ala	Alago	8.52085	8.34986	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Idomoid, Akweya, Etulo-Idoma, Idoma
alc	Qawasqar	-75.3756	-49.70303	Kaweskaran
ald	Alladian	-4.42647	5.22371	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Avikam-Alladian
ale	Aleut	-174.29013	52.12283	Eskimo-Aleut, Aleut
alf	Alege	9.00394	6.59423	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Bendi
alh	Alawa	134.28162	-15.54581	Australian, Gunwingguan, Maran, Alawic
ali	Amaimon	145.36845	-5.18742	Trans-New Guinea, Madang, Croisilles, Pihom, Amaimon
alj	Alangan	121.02197	13.09821	Austronesian, Malayo-Polynesian, Philippine, North Mangyan
alk	Alak	106.59719	15.5565	Austro-Asiatic, Mon-Khmer, Eastern Mon-Khmer, Bahnaric, Central Bahnaric
all	Allar	76.65928	11.08031	Dravidian, Unclassified
alm	Amblong	166.94988	-15.51691	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo
aln	Gheg Albanian	20.8701	42.61581	Indo-European, Albanian, Gheg
alo	Larike-Wakasihu	127.95608	-3.76522	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, East, Seram, Nunusaku, Piru Bay, West, Hoamoal
alp	Alune	128.39386	-3.11477	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Maluku, East, Seram, Nunusaku, Three Rivers, Amalumute, Northwest Seram, Ulat Inai
alq	Algonquin	-77.52577	47.38755	Algic, Algonquian, Ojibwa-Potawatomi
alr	Alutor	165.65285	60.38443	Chukotko-Kamchatkan, Northern, Koryak-Alyutor
als	Tosk Albanian	20.17993	39.84682	Indo-European, Albanian, Tosk
alt	Southern Altai	86.87051	50.13472	Altaic, Turkic, Northern
alu	'Are'are	161.15822	-9.20699	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Southern
alw	Alaba	38.17316	7.39014	Afro-Asiatic, Cushitic, East, Highland
alx	Alatil	142.53207	-3.46843	Torricelli, Wapei-Palei, Palei
aly	Alyawarr	136.83489	-21.04266	Australian, Pama-Nyungan, Arandic
alz	Alur	30.8289	2.28824	Nilo-Saharan, Eastern Sudanic, Nilotic, Western, Luo, Southern, Luo-Acholi, Alur-Acholi, Alur
ama	Amanayé	-48.66126	-3.79772	Tupian, Tupí-Guaraní, Wayampí, Amanayé
amb	Ambo	10.77978	7.07637	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Tivoid
amc	Amahuaca	-72.71614	-10.49463	Panoan, Mainline, Tri-State, Amawaka
amd	Amapá Creole	-51.05775	0.14065	
ame	Yanesha'	-75.31497	-10.54539	Maipurean, Southern, Western
amf	Hamer-Banna	36.51761	5.06515	Afro-Asiatic, Omotic, South
amg	Amarag	132.87768	-11.98757	Australian, Yiwaidjan, Amaragic
